This file was generated by export.m on 31-May-2016 14:53:10
while on branch 'marius' at commit 5493fd1d0.

inpath: C:\Data\Marius\2015\150423\frame20x_Ph_chipI_chan1-1.5h.BTF
dimensions: 1um = 3.099px (20.0x) and 1sec = 20.0frames.
trackParams:
    maxdisp: 11
        mem: 0
        dim: 2
       good: 10
      quiet: 1

filterPreTrack:
    Area: [24.9699 149.8193]

filterPostTrack:
          length: [30 400]
    displacement: [15.4950 Inf]


======================================================================
x	y	time	index	isturn
992	1278	2129	865	0
990.38	1273.8	2130	865	0
989.4	1269	2131	865	0
988.17	1264.7	2132	865	0
987.31	1261	2133	865	0
987.19	1259	2134	865	1
988.43	1262.2	2135	865	0
990.1	1266.8	2136	865	0
991.32	1271.4	2137	865	0
992.39	1277.3	2138	865	0
993.68	1283.1	2139	865	0
994.92	1288.7	2140	865	0
997.41	1293.5	2141	865	0
999.9	1297.8	2142	865	0
1002.9	1302.3	2143	865	0
1006.2	1306.7	2144	865	0
1009.6	1311.1	2145	865	0
1014.5	1315.1	2146	865	0
1018.5	1319.3	2147	865	0
1022.6	1322.4	2148	865	0
1027.2	1325.8	2149	865	0
1031	1329.5	2150	865	0
1036	1334.5	2151	865	0
1039.9	1338.5	2152	865	0
1043.4	1342	2153	865	0
1046.6	1344.9	2154	865	0
1050.5	1348.5	2155	865	0
1055.1	1351.7	2156	865	0
1058.1	1354.5	2157	865	1
1060.5	1355.5	2158	865	1
1059.5	1354.5	2159	865	1
1058.4	1352	2160	865	0
1057.3	1350.6	2161	865	0
1056.4	1348.7	2162	865	0
1054.6	1346.4	2163	865	0
1053.3	1344.6	2164	865	0
1051.7	1342.5	2165	865	0
1050.2	1339.6	2166	865	0
1048.6	1338.3	2167	865	0
1047.3	1336	2168	865	0
1046.3	1334	2169	865	0
1045	1331.3	2170	865	0
1043.2	1329.3	2171	865	0
1041.8	1327.8	2172	865	0
1040.3	1325.7	2173	865	0
1038.3	1324.1	2174	865	0
1036.1	1322	2175	865	0
1033.9	1319.3	2176	865	0
1032.2	1317.9	2177	865	0
1030.7	1316.5	2178	865	0
1029.2	1314.2	2179	865	0
1028.6	1312.5	2180	865	0
1028	1310.4	2181	865	0
1027.1	1308.3	2182	865	0
1026.6	1305.9	2183	865	0
1026.5	1304	2184	865	0
1025.4	1301.3	2185	865	0
1024.7	1298.8	2186	865	0
1023.5	1297	2187	865	0
1022.5	1295	2188	865	0
1022.2	1292.5	2189	865	0
1023	1290.6	2190	865	0
1023.1	1288.2	2191	865	0
1022.5	1286.2	2192	865	0
1022.5	1283.5	2193	865	0
1021	1281.5	2194	865	0
1019.9	1279.7	2195	865	0
1019	1278	2196	865	0
1017.1	1276.5	2197	865	0
1016.6	1275.5	2198	865	0
1015.1	1273.2	2199	865	0
1014.6	1271	2200	865	0
1014.2	1269.6	2201	865	0
1013.8	1268	2202	865	1
1014	1270.6	2203	865	0
1013.7	1275	2204	865	0
1013.2	1279	2205	865	0
1012.5	1283	2206	865	0
1011	1287	2207	865	0
1009.7	1291.7	2208	865	0
1008.8	1296.7	2209	865	0
1008.4	1300.2	2210	865	0
1007.5	1304.5	2211	865	0
1006.5	1309.5	2212	865	0
1005.5	1315.4	2213	865	0
1004.5	1320.5	2214	865	0
1003.6	1326.1	2215	865	0
1004.2	1330.9	2216	865	0
1004.3	1336.4	2217	865	0
